Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
0,1184.3,STABLE,Normal Physics,1.17,527,0.0,8e-05
1,1254.8,STABLE,Normal Physics,1.18,527,2e-05,7e-05
2,1167.6,STABLE,Normal Physics,1.16,527,2e-05,8e-05
3,1191.9,STABLE,Normal Physics,1.17,527,2e-05,8e-05
4,1181.9,STABLE,Normal Physics,1.17,527,2e-05,8e-05
5,1255.0,STABLE,Normal Physics,1.18,527,2e-05,7e-05
6,1247.5,STABLE,Normal Physics,1.18,527,2e-05,7e-05
7,1277.0,STABLE,Normal Physics,1.18,527,2e-05,7e-05
8,1244.6,STABLE,Normal Physics,1.18,527,2e-05,7e-05
9,1302.1,STABLE,Normal Physics,1.19,527,2e-05,7e-05
10,1279.8,STABLE,Normal Physics,1.18,527,2e-05,7e-05
11,1296.7,EARLY_FIRE,Pre-ignition,1.19,527,2e-05,0.0
12,1314.9,STABLE,Normal Physics,1.19,527,0.0,7e-05
13,1313.7,STABLE,Normal Physics,1.19,527,2e-05,7e-05
14,1312.1,STABLE,Normal Physics,1.19,527,2e-05,7e-05
15,1285.3,STABLE,Normal Physics,1.18,527,2e-05,7e-05
16,1307.0,STABLE,Normal Physics,1.19,527,2e-05,7e-05
17,1342.3,STABLE,Normal Physics,1.2,527,2e-05,7e-05
18,1339.6,STABLE,Normal Physics,1.19,527,2e-05,7e-05
19,1352.8,STABLE,Normal Physics,1.2,527,2e-05,6e-05
20,1294.4,STABLE,Normal Physics,1.19,527,2e-05,7e-05
21,1351.8,STABLE,Normal Physics,1.2,527,2e-05,6e-05
22,1388.2,STABLE,Normal Physics,1.2,527,2e-05,6e-05
23,1328.9,STABLE,Normal Physics,1.19,527,2e-05,7e-05
24,1318.4,STABLE,Normal Physics,1.19,527,2e-05,7e-05
25,1382.3,STABLE,Normal Physics,1.2,527,2e-05,6e-05
26,1408.1,STABLE,Normal Physics,1.21,527,2e-05,6e-05
27,1356.4,STABLE,Normal Physics,1.2,527,2e-05,6e-05
28,1418.1,STABLE,Normal Physics,1.21,527,2e-05,6e-05
29,1370.8,STABLE,Normal Physics,1.2,527,2e-05,6e-05
30,1368.9,STABLE,Normal Physics,1.2,527,2e-05,6e-05
31,1414.6,STABLE,Normal Physics,1.21,527,2e-05,6e-05
32,1434.2,STABLE,Normal Physics,1.21,527,2e-05,6e-05
33,1422.1,STABLE,Normal Physics,1.21,527,2e-05,6e-05
34,1441.7,MISFIRE,Fuel cut,1.21,527,2e-05,0.0
35,1392.7,STABLE,Normal Physics,1.2,527,0.0,6e-05
36,1465.9,STABLE,Normal Physics,1.22,527,2e-05,6e-05
37,1403.3,STABLE,Normal Physics,1.21,527,2e-05,6e-05
38,1412.9,STABLE,Normal Physics,1.21,527,2e-05,6e-05
39,1467.9,STABLE,Normal Physics,1.22,527,2e-05,6e-05
