Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
0,5117.2,-8.8,1.42,530,MISFIRE,No pressure rise post-spark,5e-05,100.0
1,4874.5,-17.5,1.12,499,MISFIRE,No pressure rise post-spark,5e-05,100.0
2,4646.2,-14.5,1.24,511,MISFIRE,No pressure rise post-spark,5e-05,100.0
3,3731.7,-17.9,1.14,499,MISFIRE,No pressure rise post-spark,7e-05,100.0
4,1747.9,-17.3,1.01,499,MISFIRE,No pressure rise post-spark,0.00021,100.0
5,7473.8,-14.7,0.96,511,MISFIRE,No pressure rise post-spark,2e-05,100.0
6,1725.5,-11.8,1.2,521,MISFIRE,No pressure rise post-spark,0.00022,100.0
7,7465.9,-8.3,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,100.0
8,3841.9,-13.5,1.29,515,MISFIRE,No pressure rise post-spark,7e-05,100.0
9,6465.3,-13.2,1.11,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
10,6564.3,-11.2,1.15,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
11,1780.2,-12.5,1.18,518,MISFIRE,No pressure rise post-spark,0.00021,99.96
12,7088.1,-8.8,1.03,518,MISFIRE,No pressure rise post-spark,2e-05,99.96
13,4121.9,-9.0,1.46,530,MISFIRE,No pressure rise post-spark,7e-05,99.96
14,2679.0,-10.9,1.34,524,MISFIRE,No pressure rise post-spark,0.00012,99.97
15,3342.9,-15.9,1.21,507,MISFIRE,No pressure rise post-spark,9e-05,99.97
16,5618.5,-17.5,1.07,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
17,4350.6,-18.0,1.14,499,MISFIRE,No pressure rise post-spark,6e-05,99.97
18,6768.3,-17.2,0.94,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
19,2056.2,-9.7,0.81,471,MISFIRE,No pressure rise post-spark,0.00015,99.97
20,1549.9,-13.1,1.11,515,MISFIRE,No pressure rise post-spark,0.00025,99.96
21,1830.7,-8.5,1.3,530,MISFIRE,No pressure rise post-spark,0.00021,99.96
22,5173.3,-16.2,1.14,503,MISFIRE,No pressure rise post-spark,4e-05,99.96
23,1518.0,-15.6,1.04,507,MISFIRE,No pressure rise post-spark,0.00026,99.96
24,5015.6,-10.4,0.84,467,MISFIRE,No pressure rise post-spark,4e-05,99.96
25,7201.9,-12.2,1.02,518,MISFIRE,No pressure rise post-spark,2e-05,99.96
26,4783.9,-11.7,1.35,521,MISFIRE,No pressure rise post-spark,5e-05,99.96
27,2196.8,-9.4,1.32,527,MISFIRE,No pressure rise post-spark,0.00016,99.96
28,4557.9,-12.9,1.32,518,MISFIRE,No pressure rise post-spark,6e-05,99.96
29,2897.1,-17.1,1.11,499,MISFIRE,No pressure rise post-spark,0.0001,99.96
30,3194.0,-9.0,1.41,527,MISFIRE,No pressure rise post-spark,0.0001,99.96
31,7493.0,-12.2,1.02,518,MISFIRE,No pressure rise post-spark,2e-05,99.96
32,4977.8,-12.5,1.3,518,MISFIRE,No pressure rise post-spark,5e-05,99.96
33,1967.2,-15.3,1.1,507,MISFIRE,No pressure rise post-spark,0.00018,99.96
34,4660.2,-14.3,1.21,507,MISFIRE,No pressure rise post-spark,5e-05,99.96
35,5529.2,-10.5,1.32,524,MISFIRE,No pressure rise post-spark,4e-05,99.96
36,7487.3,-9.5,1.1,527,MISFIRE,No pressure rise post-spark,2e-05,99.96
37,7053.1,-12.5,1.04,518,MISFIRE,No pressure rise post-spark,2e-05,99.96
38,1652.2,-16.0,1.03,503,MISFIRE,No pressure rise post-spark,0.00023,99.96
39,2760.0,-8.7,1.41,530,MISFIRE,No pressure rise post-spark,0.00012,99.96
40,4362.3,-10.5,1.4,524,MISFIRE,No pressure rise post-spark,6e-05,99.96
41,1644.0,-17.5,0.99,499,MISFIRE,No pressure rise post-spark,0.00022,99.96
42,1952.3,-13.7,1.17,515,MISFIRE,No pressure rise post-spark,0.00018,99.96
43,6168.3,-13.4,1.15,515,MISFIRE,No pressure rise post-spark,3e-05,99.96
44,6907.1,-13.4,1.04,515,MISFIRE,No pressure rise post-spark,3e-05,99.96
45,5592.3,-8.8,1.38,530,MISFIRE,No pressure rise post-spark,4e-05,99.96
46,4815.5,-15.5,1.2,507,MISFIRE,No pressure rise post-spark,5e-05,99.96
47,2195.6,-14.0,1.2,515,MISFIRE,No pressure rise post-spark,0.00016,99.96
48,3771.7,-10.4,1.4,524,MISFIRE,No pressure rise post-spark,8e-05,99.96
49,3763.9,-15.9,1.22,507,MISFIRE,No pressure rise post-spark,7e-05,99.96
50,4508.6,-13.3,0.76,455,MISFIRE,No pressure rise post-spark,5e-05,99.96
51,6447.2,-16.3,1.01,503,MISFIRE,No pressure rise post-spark,3e-05,99.96
52,6587.4,-13.6,1.09,515,MISFIRE,No pressure rise post-spark,3e-05,99.96
53,7412.5,-15.0,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.96
54,3926.0,-12.6,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.96
55,2065.5,-8.3,1.34,530,MISFIRE,No pressure rise post-spark,0.00018,99.96
56,7192.0,-16.2,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.96
57,6903.2,-9.2,1.15,527,MISFIRE,No pressure rise post-spark,3e-05,99.96
58,3702.0,-14.9,1.25,511,MISFIRE,No pressure rise post-spark,8e-05,99.96
59,7296.1,-8.3,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,99.96
60,2177.2,-17.7,1.05,499,MISFIRE,No pressure rise post-spark,0.00015,99.96
61,7497.1,-17.6,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.96
62,6642.9,-16.5,0.99,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
63,2187.4,-17.7,1.05,499,MISFIRE,No pressure rise post-spark,0.00015,99.97
64,3345.4,-10.3,1.39,524,MISFIRE,No pressure rise post-spark,9e-05,99.97
65,4118.3,-12.5,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.97
66,6362.9,-8.0,1.27,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
67,6558.1,-11.8,1.16,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
68,4043.3,-11.0,1.37,521,MISFIRE,No pressure rise post-spark,7e-05,99.97
69,2134.7,-16.0,1.12,507,MISFIRE,No pressure rise post-spark,0.00016,99.97
70,5348.4,-16.3,1.13,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
71,7159.8,-15.1,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
72,5321.0,-10.0,1.37,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
73,5631.7,-17.5,1.07,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
74,5665.5,-12.0,1.28,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
75,7070.7,-15.5,0.95,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
76,7442.8,-16.6,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
77,6297.0,-16.0,1.03,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
78,3591.9,-8.7,1.46,530,MISFIRE,No pressure rise post-spark,8e-05,99.97
79,1724.6,-14.1,1.1,511,MISFIRE,No pressure rise post-spark,0.00022,99.97
80,2202.7,-11.8,1.26,521,MISFIRE,No pressure rise post-spark,0.00016,99.97
81,4093.8,-16.3,1.18,503,MISFIRE,No pressure rise post-spark,6e-05,99.97
82,5951.3,-12.0,1.24,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
83,4910.0,-10.4,1.37,524,MISFIRE,No pressure rise post-spark,5e-05,99.97
84,4138.8,-12.4,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.97
85,2155.9,-12.1,1.22,518,MISFIRE,No pressure rise post-spark,0.00016,99.97
86,2715.0,-8.9,1.41,530,MISFIRE,No pressure rise post-spark,0.00012,99.97
87,1704.2,-15.3,1.07,507,MISFIRE,No pressure rise post-spark,0.00022,99.97
88,6264.2,-10.4,1.23,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
89,4368.9,-9.5,1.43,527,MISFIRE,No pressure rise post-spark,6e-05,99.97
90,2555.5,-11.8,1.3,521,MISFIRE,No pressure rise post-spark,0.00013,99.97
91,2077.0,-9.1,1.31,527,MISFIRE,No pressure rise post-spark,0.00018,99.97
92,3044.4,-11.1,1.34,521,MISFIRE,No pressure rise post-spark,0.0001,99.97
93,3172.3,-15.7,1.2,507,MISFIRE,No pressure rise post-spark,9e-05,99.97
94,4892.7,-15.1,1.2,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
95,6925.0,-15.7,0.97,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
96,2470.9,-8.2,1.38,530,MISFIRE,No pressure rise post-spark,0.00014,99.97
97,7134.6,-11.4,1.05,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
98,4017.6,-13.8,1.3,515,MISFIRE,No pressure rise post-spark,7e-05,99.97
99,7315.2,-9.2,1.1,527,MISFIRE,No pressure rise post-spark,2e-05,99.97
100,5630.4,-13.8,1.21,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
101,3612.5,-14.7,1.25,511,MISFIRE,No pressure rise post-spark,8e-05,99.97
102,7453.2,-10.6,1.07,524,MISFIRE,No pressure rise post-spark,2e-05,99.97
103,7387.7,-17.5,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
104,1925.5,-15.2,1.09,507,MISFIRE,No pressure rise post-spark,0.00018,99.97
105,5698.6,-8.4,1.37,530,MISFIRE,No pressure rise post-spark,4e-05,99.97
106,7220.3,-15.7,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,99.97
107,2794.6,-15.1,1.18,507,MISFIRE,No pressure rise post-spark,0.00011,99.97
108,1592.2,-14.8,1.09,511,MISFIRE,No pressure rise post-spark,0.00024,99.97
109,1835.7,-13.4,1.15,515,MISFIRE,No pressure rise post-spark,0.0002,99.97
110,3143.9,-11.5,1.34,521,MISFIRE,No pressure rise post-spark,0.0001,99.97
111,1955.7,-13.9,1.17,515,MISFIRE,No pressure rise post-spark,0.00018,99.97
112,2484.3,-10.9,1.32,524,MISFIRE,No pressure rise post-spark,0.00014,99.97
113,7496.2,-15.6,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
114,3465.6,-17.9,1.13,499,MISFIRE,No pressure rise post-spark,8e-05,99.97
115,5077.0,-16.3,1.11,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
116,3790.1,-10.7,1.4,524,MISFIRE,No pressure rise post-spark,8e-05,99.97
117,2115.7,-17.0,1.05,499,MISFIRE,No pressure rise post-spark,0.00016,99.97
118,4462.0,-14.1,1.25,511,MISFIRE,No pressure rise post-spark,6e-05,99.97
119,7288.5,-13.1,0.99,515,MISFIRE,No pressure rise post-spark,2e-05,99.97
120,2449.8,-15.4,0.67,447,MISFIRE,No pressure rise post-spark,0.00011,99.97
121,2206.9,-14.5,1.16,511,MISFIRE,No pressure rise post-spark,0.00016,99.97
122,4843.0,-12.2,1.31,518,MISFIRE,No pressure rise post-spark,5e-05,99.97
123,2924.3,-13.4,1.26,515,MISFIRE,No pressure rise post-spark,0.00011,99.97
124,7221.6,-11.2,1.04,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
125,7421.3,-12.8,1.02,518,MISFIRE,No pressure rise post-spark,2e-05,99.97
126,3893.4,-9.6,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
127,7253.8,-15.1,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
128,3281.4,-16.0,1.2,507,MISFIRE,No pressure rise post-spark,9e-05,99.97
129,7053.9,-10.9,1.09,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
130,6982.4,-15.6,0.96,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
131,6811.6,-11.4,1.11,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
132,7314.4,-15.8,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
133,4269.8,-10.9,1.4,524,MISFIRE,No pressure rise post-spark,6e-05,99.97
134,2310.8,-17.5,1.06,499,MISFIRE,No pressure rise post-spark,0.00014,99.97
135,4056.2,-10.2,1.4,524,MISFIRE,No pressure rise post-spark,7e-05,99.97
136,3270.2,-16.1,1.16,503,MISFIRE,No pressure rise post-spark,9e-05,99.97
137,2379.9,-10.2,1.31,524,MISFIRE,No pressure rise post-spark,0.00014,99.97
138,1699.4,-15.2,1.07,507,MISFIRE,No pressure rise post-spark,0.00022,99.97
139,5195.7,-12.6,1.29,518,MISFIRE,No pressure rise post-spark,5e-05,99.97
140,6078.6,-17.2,1.03,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
141,4190.4,-9.6,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
142,6550.3,-17.7,0.97,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
143,4008.9,-10.8,1.4,524,MISFIRE,No pressure rise post-spark,7e-05,99.97
144,3314.5,-9.1,1.42,527,MISFIRE,No pressure rise post-spark,9e-05,99.97
145,6951.4,-13.5,1.03,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
146,2276.9,-13.5,1.2,515,MISFIRE,No pressure rise post-spark,0.00015,99.97
